HomeTeam,AwayTeam,FTHG,FTAG,HST,AST,HC,AC,B365>2.5,B365<2.5,Season,P>2.5,P<2.5,RATING_H_DEF,RATING_H_OFF,RATING_A_DEF,RATING_A_OFF
Sheffield United,Arsenal,1,0,2,3,7,12,1.66,2.2,2019-20,0.5887383430948055,0.41126165690519445,9.436449803169184,8.604560450907792,8.683557734580496,7.700114985457306
Southampton,Leicester,0,9,3,15,2,7,2.0,1.8,2019-20,0.4791897822040629,0.5208102177959371,11.617532882023031,6.978498458535871,10.699798781985972,6.846856956970591
Man City,Aston Villa,3,0,9,5,13,7,1.22,4.33,2019-20,0.7748708120666812,0.22512918793331882,5.593327775665372,19.947401087631864,5.165073478738641,16.722661505701037
Brighton,Everton,3,2,4,6,0,5,2.0,1.8,2019-20,0.48578415757754895,0.514215842422451,10.44396993509833,5.304355327520588,9.485133020065987,4.550533077440199
Watford,Bournemouth,0,0,3,5,5,10,1.66,2.2,2019-20,0.5794104252997578,0.42058957470024216,10.510042849532741,7.889957579427794,9.79864942125155,6.667818082843389
West Ham,Sheffield United,1,1,4,4,10,4,1.9,1.9,2019-20,0.5111539699097223,0.4888460300902777,10.71238285481021,9.339245472889807,9.470169370168207,8.440710866095806
Burnley,Chelsea,2,4,5,7,5,6,1.66,2.2,2019-20,0.5793137236124843,0.42068627638751566,10.076044158231584,8.096999938851036,9.256790968205287,7.6952978617685845
Newcastle,Wolves,1,1,2,5,3,6,2.5,1.53,2019-20,0.37403036296390074,0.6259696370360992,12.565643144716358,2.711567236670184,11.352538564283538,2.933130691183174
Arsenal,Crystal Palace,2,2,6,4,12,5,1.53,2.5,2019-20,0.6357536375987476,0.3642463624012524,10.928578097361816,14.802911754439902,10.284540028249435,13.76062441099914
Liverpool,Tottenham,2,1,13,4,8,3,1.53,2.5,2019-20,0.6287545134858351,0.3712454865141649,4.497706104050698,14.423185772207596,4.318058209359025,12.736230036104388
Norwich,Man United,1,3,3,11,1,10,1.66,2.2,2019-20,0.5809705788427777,0.4190294211572223,16.923334424262002,4.924577300413524,16.01291093067304,6.0354137637951215
Bournemouth,Man United,1,0,6,4,4,10,1.9,1.9,2019-20,0.5087100964498142,0.49128990355018576,11.638205955850303,8.938358623583149,10.88241475519759,8.4113997839607
